Price,Status Text,Status Type,Area,Beds,Baths,State,City,Street,Zipcode
"535,000",FOR_SALE,FOR_SALE,2541 sqft,3,2.0,CO,Loveland,1180 Crabapple Dr,80538
"390,000",FOR_SALE,FOR_SALE,2126 sqft,3,3.0,CO,Colorado Springs,4802 Hawk Meadow Dr,80916
"389,000",FOR_SALE,FOR_SALE,1344 sqft,3,3.0,CO,Aurora,15901 E Rice Place  Unit B,80015
"549,900",FOR_SALE,FOR_SALE,1680 sqft,2,2.0,CO,Conifer,9867 Hurty Avenue,80433
"575,000",FOR_SALE,FOR_SALE,3783 sqft,5,5.0,CO,Delta,19675 H Road,81416
"39,900",FOR_SALE,FOR_SALE,None sqft,,0.0,CO,Jefferson,481 Turk Pony Way #80,80456
"975,000",FOR_SALE,FOR_SALE,1312 sqft,3,3.0,CO,Edwards,454 Edwards Village Blvd #A,81632
"425,000",FOR_SALE,FOR_SALE,1920 sqft,3,3.0,CO,Milliken,1328 S Dusk Dr,80543
"300,000",FOR_SALE,FOR_SALE,1196 sqft,2,2.0,CO,Aurora,12281 E Tennessee Drive  Unit 303,80012
"315,000",FOR_SALE,FOR_SALE,1172 sqft,3,2.0,CO,Canon City,1603 Poplar Ave #1,81212
"375,000",FOR_SALE,FOR_SALE,1408 sqft,3,2.0,CO,Denver,9110 E Lehigh Avenue,80237
"529,999",FOR_SALE,FOR_SALE,2318 sqft,4,3.0,CO,Westminster,11061 Kendall Way,80020
"225,000",FOR_SALE,FOR_SALE,None sqft,,,CO,Pierce,0 W CR 34,80650
"575,000",FOR_SALE,FOR_SALE,2402 sqft,4,3.0,CO,Lakewood,1666 Kendall Street,80214
"525,000",FOR_SALE,FOR_SALE,928 sqft,3,2.0,CO,Denver,1599 W 51st Avenue,80221
"705,000",FOR_SALE,FOR_SALE,3180 sqft,4,4.0,CO,Castle Rock,1477 Scott Canyon Lane,80104
"900,000",FOR_SALE,FOR_SALE,2422 sqft,5,3.0,CO,Denver,6442 E Cornell Avenue,80222
"550,000",FOR_SALE,FOR_SALE,2184 sqft,3,2.0,CO,Lakewood,1475 S Gray Street,80232
"319,000",FOR_SALE,FOR_SALE,1200 sqft,3,3.0,CO,Pueblo,3109 W 18th St,81003
"400,000",FOR_SALE,FOR_SALE,None sqft,,,CO,Superior,303 W William Street,80027
"7,750,000",FOR_SALE,FOR_SALE,11055 sqft,7,11.0,CO,Cherry Hills Village,6 Sunrise Drive,80113
"546,000",FOR_SALE,FOR_SALE,2816 sqft,4,3.0,CO,Eaton,655 Red Tail Dr,80615
"199,000",FOR_SALE,FOR_SALE,527 sqft,1,1.0,CO,Arvada,5620 W 80th Place  Unit 74,80003
"425,000",FOR_SALE,FOR_SALE,1056 sqft,3,1.0,CO,Fort Collins,639 S Taft Hill Rd,80521
"595,000",FOR_SALE,FOR_SALE,2150 sqft,5,3.0,CO,Denver,2301 S Vrain Street,80219
"410,000",FOR_SALE,FOR_SALE,1981 sqft,4,2.0,CO,Greeley,4920 W 8th St Rd,80634
"1,300,000",FOR_SALE,FOR_SALE,3365 sqft,3,3.0,CO,Colorado Springs,10120 Shoup Road,80908
"765,000",FOR_SALE,FOR_SALE,3896 sqft,4,4.0,CO,Aurora,14130 E Saratoga Place,80015
"653,530",FOR_SALE,FOR_SALE,3509 sqft,4,3.0,CO,Loveland,5640 Olathe Ave Cir,80538
"399,000",FOR_SALE,FOR_SALE,1804 sqft,4,3.0,CO,Colorado Springs,1533 Wooten Rd,80915
